Place,BIB#,Lastname,Firstname,Club,Nation,Sex,AC,AC Place,Net,Finish,Photos,Certificate
1,2,Adola,Guye,Adidas,ETH,M,30,1,02:05:45,02:05:45,,
2,15,Yegon,Bethwel,adidas,KEN,M,H,1,02:06:14,02:06:14,,
3,1,Bekele,Kenenisa,,ETH,M,35,1,02:06:47,02:06:47,,
4,6,Abate,Tadu,,ETH,M,H,2,02:08:24,02:08:24,,
5,36,Muteti,Cosmas,,KEN,M,30,2,02:08:45,02:08:45,,
6,4,Kacheran,Philemon,,KEN,M,H,3,02:09:29,02:09:29,,
7,11,Tsegay,Okbay,,ERI,M,35,2,02:10:37,02:10:37,,
8,20,Kimeli,Bernard,adidas,KEN,M,H,4,02:10:50,02:10:50,,
9,9,Hijikata,Hidekazu,Honda,JPN,M,H,5,02:11:47,02:11:47,,
10,25,Kipkemboi,Hosea,,KEN,M,H,6,02:12:25,02:12:25,,
11,22,Legese,Demiso,,ETH,M,H,7,02:12:35,02:12:35,,
12,17,Getahun,Yimer,Maccabi Tel-Aviv,ISR,M,H,8,02:13:23,02:13:23,,
13,23,Welday,Haftom,Hannover 96,ERI,M,30,3,02:13:47,02:13:47,,
14,13,Muramoto,Kazuki,,JPN,M,H,9,02:14:11,02:14:11,,
15,14,Fujimoto,Taku,Toyota,JPN,M,30,4,02:14:18,02:14:18,,
16,29,Pflieger,Philipp,Haspa Marathon Hamburg,GER,M,30,5,02:15:01,02:15:01,,
17,19,Jamber,Melkan,Hapoel Runing at Work,ISR,M,30,6,02:16:13,02:16:13,,
18,77,Ebrahim,Abdulaziz,Strindheim,NOR,M,40,1,02:17:17,02:17:17,,
19,41,Dambadarjaa,Gantulga,Mongolian Athletes,MGL,M,H,10,02:18:28,02:18:28,,
20,31,Lehmann,Adrian,SV Langenthal,GER,M,30,7,02:18:50,02:18:50,,
21,35,Clowes,Matthew,Cardiff AC,GBR,M,30,8,02:18:55,02:18:55,,
22,24679,Mansfield,David,CLONMEL AC,IRL,M,35,3,02:19:35,02:19:38,,
23,F17,Gebreslase,Gotytom,,ETH,W,H,1,02:20:09,02:20:09,,
24,79,Sake,Nicolai,,BEL,M,H,11,02:21:01,02:21:01,,
25,F2,Gebrekidan,Hiwot,adidas,ETH,W,H,2,02:21:23,02:21:23,,
26,89,Duffy,Conor,WACO,GBR,M,H,12,02:22:41,02:22:41,,
27,62,Kiros,Ashenafi,,ETH,M,H,13,02:22:41,02:22:41,,
28,F28,Tola,Helen,,ETH,W,H,3,02:23:05,02:23:05,,
29,59461,Schwippel,Tim,Laufteam Braunschweig,GER,M,H,14,02:23:26,02:23:31,,
30,94,Kirkeberg,Alexander,,NOR,M,H,15,02:23:27,02:23:27,,
31,F15,Chelimo,Edith,adidas,KEN,W,35,1,02:24:33,02:24:33,,
32,60,Kipchumba,Julius,,KEN,M,H,16,02:24:38,02:24:38,,
