Place overall,Place gender,Place category,Name,,Club,Runner no,Category,HALF,Finish time,,year
69,1,1,"» Duncan, Nicola (IRL)",,,426,18-39,01:15:39,02:33:28,,2014
1,1,1,"» Way, Steven (GBR)",,,943,18-39,01:07:21,02:16:27,,2014
191,2,2,"» Briscoe, Julie (GBR)",,,374,18-39,01:18:02,02:39:43,,2014
2,2,2,"» Gilbert, John (GBR)",,,851,18-39,01:07:21,02:16:46,,2014
197,3,3,"» Bird, Sara (GBR)",,,521,18-39,01:19:13,02:39:55,,2014
3,3,3,"» Pepper, Jon (GBR)",,,1043,18-39,01:07:56,02:19:59,,2014
4,4,4,"» Kay, Richard (GBR)",,,1076,18-39,01:09:16,02:20:54,,2014
208,4,4,"» Munn, Hayley (GBR)",,,273,18-39,01:20:04,02:40:35,,2014
370,5,5,"» Fletcher, Shona (GBR)",,,410,18-39,01:22:50,02:44:59,,2014
5,5,5,"» Rojas, Kevin (GBR)",,,1037,18-39,01:11:00,02:22:56,,2014
397,6,6,"» Grima, Claire (GBR)",,,227,18-39,01:20:49,02:45:51,,2014
6,6,6,"» Poole, Jonathan (GBR)",,,798,18-39,01:10:49,02:22:58,,2014
410,7,7,"» Konneh-Lahun, Mamie (SLE)",,,52584,18-39,01:19:03,02:46:20,,2014
7,7,7,"» McWhirter, Blair (NZL)",,,860,18-39,01:11:00,02:23:27,,2014
429,8,8,"» Emsley, Jennifer (GBR)",,,497,18-39,01:19:57,02:46:55,,2014
8,8,8,"» Martelletti, Paul (GBR)",,,912,18-39,01:07:57,02:23:36,,2014
452,9,9,"» Crawford, Megan (GBR)",,,440,18-39,01:18:17,02:47:21,,2014
9,9,9,"» Natali, Paolo (GBR)",,,880,18-39,01:09:16,02:23:57,,2014
10,10,10,"» Gierjatowicz, Patryk (GBR)",,,1059,18-39,01:12:25,02:24:27,,2014
454,10,10,"» Sharpe, Helen (GBR)",,,509,18-39,01:21:17,02:47:22,,2014
11,11,11,"» Renault, Neil (GBR)",,,1113,18-39,01:09:17,02:24:33,,2014
489,11,1,"» UGENA ARCICOLLAR, ELENA (ESP)",,,52585,40-44,01:22:24,02:48:18,,2014
517,12,11,"» Schaper, Marie (USA)",,,254,18-39,01:24:50,02:48:55,,2014
12,12,12,"» Scott, Richard (GBR)",,,965,18-39,01:10:49,02:24:46,,2014
526,13,12,"» McIntosh, Shona (GBR)",,,371,18-39,01:21:13,02:49:09,,2014
13,13,13,"» Milne, Alex (GBR)",,,1017,18-39,01:12:37,02:25:14,,2014
556,14,13,"» Gaunt, Helen (GBR)",,,221,18-39,01:25:30,02:49:43,,2014
14,14,14,"» Keal, Rob (GBR)",,,1049,18-39,01:12:08,02:25:50,,2014
15,15,15,"» Hoad, James (GBR)",,,917,18-39,01:13:01,02:26:17,,2014
564,15,14,"» Webster, Katy (GBR)",,,375,18-39,01:24:31,02:49:48,,2014
597,16,2,"» Cumber, Sarah Louise (GBR)",,,234,40-44,01:22:42,02:50:36,,2014
16,16,16,"» Vaughan, Alun (GBR)",,,887,18-39,01:09:52,02:26:30,,2014
611,17,15,"» Locks, Lesley (GBR)",,,377,18-39,01:22:47,02:50:47,,2014
17,17,17,"» Shearer, Ben (GBR)",,,961,18-39,01:13:22,02:26:52,,2014
18,18,18,"» Fellows, Donovan (USA)",,,1029,18-39,01:13:54,02:26:54,,2014
615,18,16,"» Williams, Sarah (GBR)",,,288,18-39,01:24:12,02:50:51,,2014
19,19,19,"» Collins, Matthew (GBR)",,,885,18-39,01:12:28,02:27:01,,2014
