,Name,Place S,Place P,Time,Division,Year
0,"Wilson, Kenny (GBR)",1,1,Finish02:18:42,Category18-39,2021
1,"Dickinson, Matthew (GBR)",2,2,Finish02:19:23,Category18-39,2021
2,"Braden, Ross (GBR)",3,3,Finish02:19:33,Category18-39,2021
3,"Connor, James (GBR)",4,4,Finish02:20:16,Category18-39,2021
4,"Bowker, Nick (GBR)",5,5,Finish02:20:25,Category18-39,2021
5,"Payne, Tony (THA)",6,6,Finish02:20:50,Category18-39,2021
6,"Welborn, Karl (GBR)",7,7,Finish02:21:36,Category40-44,2021
7,"Morwood, Joe (GBR)",8,8,Finish02:22:20,Category18-39,2021
8,"Mcdowell, Richard (GBR)",9,9,Finish02:23:06,Category40-44,2021
9,"Ploner, Markus (ITA)",10,10,Finish02:23:07,Category40-44,2021
10,"Yates, Gregor (GBR)",11,11,Finish02:23:11,Category18-39,2021
11,"Hogan, Sean (GBR)",12,12,Finish02:23:34,Category18-39,2021
12,"Garrod, Ollie (GBR)",13,13,Finish02:23:39,Category18-39,2021
13,"London, Suzanne (USA)",837,13,Finish02:48:18,Category18-39,2021
14,"Nic fhogartaigh, Caoimhe (GBR)",849,14,Finish02:48:25,Category40-44,2021
15,"King, Katie (GBR)",857,15,Finish02:48:30,Category18-39,2021
16,"Lord, Hannah (GBR)",870,16,Finish02:48:36,Category18-39,2021
17,"Birch, Annie (GBR)",882,17,Finish02:48:42,Category18-39,2021
18,"Hillier-moses, Gemma (GBR)",939,18,Finish02:49:26,Category18-39,2021
19,"Moll, Angela (USA)",944,19,Finish02:49:29,Category40-44,2021
20,"Beckett, Mabel (GBR)",947,20,Finish02:49:30,Category18-39,2021
21,"Gabb, Ania (GBR)",975,21,Finish02:49:48,Category18-39,2021
22,"Granger, Annabel (GBR)",977,22,Finish02:49:48,Category45-49,2021
23,"Cooper, Lauren (GBR)",979,23,Finish02:49:49,Category18-39,2021
24,"Fouhy, Vicky (GBR)",983,24,Finish02:49:51,Category18-39,2021
25,"Grima, Claire (GBR)",1025,25,Finish02:50:30,Category40-44,2021
26,"De mata, Javier (ESP)",26,26,Finish02:25:32,Category40-44,2021
27,"Ruddy, Craig (GBR)",27,27,Finish02:25:34,Category18-39,2021
28,"Waddington, Michael (GBR)",28,28,Finish02:25:35,Category18-39,2021
29,"Watson, Milan (GBR)",29,29,Finish02:25:54,Category18-39,2021
30,"Spencer, Robert (GBR)",30,30,Finish02:25:56,Category18-39,2021
31,"Molyneux, Paul (GBR)",31,31,Finish02:25:56,Category40-44,2021
32,"Rungger, Hannes (ITA)",32,32,Finish02:26:06,Category18-39,2021
33,"Blake, Stephen (GBR)",33,33,Finish02:26:06,Category18-39,2021
34,"Barry, Nicholas (GBR)",34,34,Finish02:26:12,Category18-39,2021
35,"Haynes, Stuart (GBR)",35,35,Finish02:26:26,Category45-49,2021
36,"Mukhamedzarifov, Farid (RUS)",36,36,Finish02:26:27,Category45-49,2021
37,"Williams, Chris (GBR)",37,37,Finish02:26:33,Category18-39,2021
38,"Robinson, Peter (GBR)",38,38,Finish02:26:36,Category18-39,2021
39,"Jackson, Hazel (GBR)",1288,38,Finish02:53:26,Category18-39,2021
40,"Hall, Rachel (GBR)",1301,39,Finish02:53:35,Category18-39,2021
41,"Hunter, Sarah (GBR)",1304,40,Finish02:53:36,Category18-39,2021
42,"Saunders, Jessica (GBR)",1310,41,Finish02:53:39,Category18-39,2021
43,"Mccrory, Gillian (GBR)",1314,42,Finish02:53:41,Category40-44,2021
44,"Lewis, Susan (GBR)",1381,43,Finish02:54:24,Category45-49,2021
45,"Marques, Mariana (POR)",1393,44,Finish02:54:28,Category18-39,2021
46,"Williams, Victoria (GBR)",1403,45,Finish02:54:32,Category18-39,2021
47,"Gurney, Sarah (GBR)",1426,46,Finish02:54:43,Category50-54,2021
48,"Record, Helen (GBR)",1435,47,Finish02:54:49,Category18-39,2021
49,"Owen, Rachel (GBR)",1442,48,Finish02:54:52,Category18-39,2021
50,"Howard, Claire (GBR)",1458,49,Finish02:55:05,Category50-54,2021
51,"Mulvey, Rachael (GBR)",1471,50,Finish02:55:10,Category18-39,2021
52,"Schenk, Luis (ITA)",51,51,Finish02:28:13,Category18-39,2021
53,"Greenwood, Christopher (GBR)",52,52,Finish02:28:14,Category45-49,2021
54,"Wilson, Robert (GBR)",53,53,Finish02:28:15,Category18-39,2021
55,"Bromley, Jack (GBR)",54,54,Finish02:28:20,Category18-39,2021
56,"Stephenson, Jamie (GBR)",55,55,Finish02:28:22,Category18-39,2021
57,"Heron, Ben (GBR)",56,56,Finish02:28:27,Category18-39,2021
58,"Rock, Danny (GBR)",57,57,Finish02:28:27,Category18-39,2021
59,"Tucker, Peter (GBR)",58,58,Finish02:28:27,Category40-44,2021
60,"Almond, Thomas (GBR)",59,59,Finish02:28:30,Category18-39,2021
61,"Wastvedt, Bjorn (USA)",60,60,Finish02:28:31,Category18-39,2021
62,"Michaelson-yeates, Rob (GBR)",61,61,Finish02:28:33,Category40-44,2021
63,"Payne, John (GBR)",62,62,Finish02:28:36,Category18-39,2021
64,"Van ongeval, Tom (BEL)",63,63,Finish02:28:37,Category45-49,2021
65,"Dimond, Elizabeth (GBR)",1641,63,Finish02:56:37,Category18-39,2021
66,"Robbins, Louisa (GBR)",1670,64,Finish02:56:52,Category18-39,2021
67,"Moore, Fenella (GBR)",1677,65,Finish02:56:55,Category18-39,2021
68,"Warrack, Polly (GBR)",1687,66,Finish02:56:59,Category18-39,2021
69,"Baker, Chelsea (GBR)",1704,67,Finish02:57:11,Category18-39,2021
70,"Wasniewska, Karolina (POL)",1723,68,Finish02:57:16,Category40-44,2021
71,"Wiley, Georgina (GBR)",1738,69,Finish02:57:23,Category18-39,2021
72,"Burns, Natalie (GBR)",1740,70,Finish02:57:23,Category18-39,2021
